Cell ID,Label 1,Label 2,Label 3,Probability 1,Probability 2,Probability 3,Test Accuracy,Test Loss
16379,cluster_12,cluster_13,cluster_2,0.13046832,0.10998536,0.07304287,0.156387060880661,2.934731960296631
16446,cluster_3,cluster_6,cluster_4,0.12209279,0.0979883,0.08914693,0.156387060880661,2.934731960296631
16451,cluster_3,cluster_5,cluster_6,0.19437043,0.10583201,0.096339464,0.156387060880661,2.934731960296631
16452,cluster_2,cluster_1,cluster_6,0.13077189,0.07594173,0.06659015,0.156387060880661,2.934731960296631
16453,cluster_3,cluster_6,cluster_5,0.16388173,0.10483211,0.087795444,0.156387060880661,2.934731960296631
1666,cluster_2,cluster_1,cluster_12,0.15696833,0.124592036,0.1026772,0.156387060880661,2.934731960296631
16761,cluster_7,cluster_11,cluster_12,0.7104728,0.043596767,0.040952627,0.156387060880661,2.934731960296631
16770,cluster_2,cluster_1,cluster_6,0.16359264,0.10760651,0.06714139,0.156387060880661,2.934731960296631
16792,cluster_2,cluster_1,cluster_5,0.17379887,0.10051718,0.07776783,0.156387060880661,2.934731960296631
16817,cluster_2,cluster_1,cluster_6,0.17881143,0.102548435,0.07371641,0.156387060880661,2.934731960296631
16826,cluster_2,cluster_4,cluster_1,0.1103126,0.09521492,0.083822675,0.156387060880661,2.934731960296631
16843,cluster_3,cluster_6,cluster_4,0.115299925,0.09762315,0.08763876,0.156387060880661,2.934731960296631
16880,cluster_3,cluster_6,cluster_5,0.16171779,0.10222221,0.09629681,0.156387060880661,2.934731960296631
17210,cluster_3,cluster_6,cluster_4,0.114100665,0.10058081,0.097594574,0.156387060880661,2.934731960296631
17326,cluster_2,cluster_1,cluster_12,0.15448913,0.131522,0.0807435,0.156387060880661,2.934731960296631
1734,cluster_3,cluster_5,cluster_2,0.09610617,0.09350861,0.089677066,0.156387060880661,2.934731960296631
17401,cluster_3,cluster_5,cluster_1,0.116581164,0.1014743,0.098942734,0.156387060880661,2.934731960296631
17403,cluster_2,cluster_1,cluster_6,0.17077842,0.109413,0.080246784,0.156387060880661,2.934731960296631
17404,cluster_2,cluster_1,cluster_6,0.1302842,0.093086265,0.079673775,0.156387060880661,2.934731960296631
17408,cluster_2,cluster_4,cluster_6,0.10739276,0.099028245,0.094826266,0.156387060880661,2.934731960296631
17474,cluster_12,cluster_2,cluster_13,0.13193466,0.08085311,0.07304199,0.156387060880661,2.934731960296631
17730,cluster_8,cluster_3,cluster_4,0.09863197,0.092889614,0.08646305,0.156387060880661,2.934731960296631
1774,cluster_2,cluster_1,cluster_6,0.15529211,0.10505479,0.07930998,0.156387060880661,2.934731960296631
17828,cluster_4,cluster_2,cluster_6,0.10598551,0.10212425,0.08607045,0.156387060880661,2.934731960296631
17856,cluster_6,cluster_2,cluster_4,0.10428503,0.09884686,0.09739016,0.156387060880661,2.934731960296631
17889,cluster_2,cluster_17,cluster_13,0.10759171,0.104957566,0.08930626,0.156387060880661,2.934731960296631
17928,cluster_2,cluster_1,cluster_12,0.15081331,0.111421466,0.07019466,0.156387060880661,2.934731960296631
17937,cluster_2,cluster_3,cluster_6,0.12128152,0.090934366,0.0908139,0.156387060880661,2.934731960296631
18005,cluster_2,cluster_4,cluster_6,0.086498946,0.08173516,0.07525631,0.156387060880661,2.934731960296631
18011,cluster_2,cluster_1,cluster_4,0.16627455,0.075692944,0.07245093,0.156387060880661,2.934731960296631
18070,cluster_3,cluster_5,cluster_1,0.12397968,0.11700513,0.09759099,0.156387060880661,2.934731960296631
18326,cluster_2,cluster_1,cluster_4,0.22066727,0.08321914,0.06971695,0.156387060880661,2.934731960296631
18394,cluster_2,cluster_13,cluster_17,0.09214371,0.08937913,0.07690881,0.156387060880661,2.934731960296631
1842,cluster_2,cluster_6,cluster_4,0.106892444,0.1013398,0.08767383,0.156387060880661,2.934731960296631
18444,cluster_5,cluster_3,cluster_1,0.11442108,0.09689296,0.0903901,0.156387060880661,2.934731960296631
