Cell ID,Label 1,Label 2,Label 3,Probability 1,Probability 2,Probability 3,Test Accuracy,Test Loss
11147,cluster_2,cluster_1,cluster_11,0.21290523,0.12977792,0.069551386,0.16488486528396606,2.9004340171813965
11189,cluster_2,cluster_1,cluster_6,0.18997347,0.124336146,0.07323518,0.16488486528396606,2.9004340171813965
11237,cluster_2,cluster_1,cluster_11,0.23610575,0.11407084,0.07454794,0.16488486528396606,2.9004340171813965
11268,cluster_12,cluster_13,cluster_7,0.31260207,0.1396959,0.07380141,0.16488486528396606,2.9004340171813965
11271,cluster_2,cluster_1,cluster_6,0.13980547,0.11669926,0.092285216,0.16488486528396606,2.9004340171813965
11372,cluster_2,cluster_4,cluster_1,0.15150422,0.104857095,0.098745614,0.16488486528396606,2.9004340171813965
11425,cluster_2,cluster_1,cluster_4,0.16910301,0.11243576,0.06709287,0.16488486528396606,2.9004340171813965
11429,cluster_2,cluster_1,cluster_12,0.22061867,0.14078194,0.0846032,0.16488486528396606,2.9004340171813965
11476,cluster_2,cluster_1,cluster_4,0.14186315,0.11162821,0.08793728,0.16488486528396606,2.9004340171813965
11527,cluster_2,cluster_1,cluster_4,0.14800075,0.11790697,0.08576818,0.16488486528396606,2.9004340171813965
1157,cluster_2,cluster_1,cluster_4,0.1361774,0.115847625,0.077278845,0.16488486528396606,2.9004340171813965
11611,cluster_7,cluster_13,cluster_12,0.529102,0.076983266,0.07569747,0.16488486528396606,2.9004340171813965
11755,cluster_2,cluster_4,cluster_1,0.13035524,0.10691346,0.0944999,0.16488486528396606,2.9004340171813965
11936,cluster_2,cluster_1,cluster_11,0.22750342,0.11495954,0.06689243,0.16488486528396606,2.9004340171813965
11955,cluster_2,cluster_1,cluster_4,0.14456853,0.10254885,0.099160805,0.16488486528396606,2.9004340171813965
1198,cluster_2,cluster_1,cluster_11,0.24309555,0.12934224,0.06972307,0.16488486528396606,2.9004340171813965
11994,cluster_3,cluster_5,cluster_1,0.328547,0.11716345,0.09597945,0.16488486528396606,2.9004340171813965
11999,cluster_6,cluster_4,cluster_1,0.103750005,0.10089568,0.10022539,0.16488486528396606,2.9004340171813965
12053,cluster_12,cluster_13,cluster_7,0.25453803,0.21102794,0.09170007,0.16488486528396606,2.9004340171813965
1213,cluster_1,cluster_2,cluster_6,0.11664236,0.09881294,0.08897621,0.16488486528396606,2.9004340171813965
1215,cluster_2,cluster_1,cluster_6,0.16834223,0.13502559,0.086946025,0.16488486528396606,2.9004340171813965
12223,cluster_1,cluster_12,cluster_8,0.09243883,0.08889013,0.079111055,0.16488486528396606,2.9004340171813965
12240,cluster_2,cluster_1,cluster_4,0.17946163,0.11998099,0.07228598,0.16488486528396606,2.9004340171813965
12338,cluster_2,cluster_1,cluster_6,0.19632284,0.11456037,0.07957229,0.16488486528396606,2.9004340171813965
1247,cluster_2,cluster_1,cluster_11,0.27559516,0.10716754,0.055811092,0.16488486528396606,2.9004340171813965
12493,cluster_4,cluster_1,cluster_6,0.1285942,0.09763834,0.09489692,0.16488486528396606,2.9004340171813965
