Cell ID,Label 1,Label 2,Label 3,Probability 1,Probability 2,Probability 3,Test Accuracy,Test Loss
12810,cluster_2,cluster_4,cluster_1,0.13449146,0.08997911,0.087302074,0.15254934132099152,2.930070400238037
12857,cluster_2,cluster_1,cluster_4,0.15903653,0.09928932,0.087901436,0.15254934132099152,2.930070400238037
12864,cluster_1,cluster_3,cluster_4,0.11317992,0.11124807,0.08804833,0.15254934132099152,2.930070400238037
1287,cluster_2,cluster_1,cluster_9,0.20048423,0.1053628,0.103118986,0.15254934132099152,2.930070400238037
12956,cluster_4,cluster_2,cluster_1,0.111358784,0.10307645,0.09408416,0.15254934132099152,2.930070400238037
13035,cluster_2,cluster_1,cluster_3,0.12938648,0.111529015,0.07828781,0.15254934132099152,2.930070400238037
13036,cluster_3,cluster_4,cluster_1,0.107021235,0.09875146,0.09690701,0.15254934132099152,2.930070400238037
13057,cluster_1,cluster_2,cluster_3,0.11468755,0.092533335,0.08068224,0.15254934132099152,2.930070400238037
13091,cluster_2,cluster_1,cluster_11,0.19562538,0.11384567,0.07194523,0.15254934132099152,2.930070400238037
1312,cluster_2,cluster_1,cluster_4,0.1296155,0.10488728,0.08711418,0.15254934132099152,2.930070400238037
13135,cluster_3,cluster_1,cluster_4,0.10095628,0.08685935,0.07677248,0.15254934132099152,2.930070400238037
13380,cluster_2,cluster_1,cluster_4,0.13135716,0.10276496,0.09552303,0.15254934132099152,2.930070400238037
13388,cluster_2,cluster_4,cluster_1,0.14102663,0.10982164,0.104295194,0.15254934132099152,2.930070400238037
13428,cluster_1,cluster_3,cluster_2,0.09562609,0.089457944,0.079746895,0.15254934132099152,2.930070400238037
13491,cluster_1,cluster_3,cluster_4,0.10050164,0.09982549,0.07110663,0.15254934132099152,2.930070400238037
13543,cluster_1,cluster_3,cluster_2,0.10044813,0.09936937,0.07714873,0.15254934132099152,2.930070400238037
13725,cluster_3,cluster_1,cluster_5,0.115320474,0.09899405,0.07593212,0.15254934132099152,2.930070400238037
13776,cluster_3,cluster_1,cluster_4,0.11673452,0.08855182,0.07504536,0.15254934132099152,2.930070400238037
13915,cluster_4,cluster_1,cluster_2,0.092352286,0.07567004,0.06990567,0.15254934132099152,2.930070400238037
